Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.115655071541137,3.66284780284332E-12,-0.152485599770737,0,0,0,15.0721208608483,0.600714319391966,-1.06755631071889E-08,0.0704617108133668,1.47840362132378,1.10313437830623E-09,1.81163408476871,0,0,0,0,0,0,package://agv5_varo/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv5_varo/meshes/base_link.STL,,Body-1;Sensor-1,Body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Left_Link,6.89226453687297E-13,-0.0166023388404412,3.94517751800549E-13,0,0,0,0.52936994072617,0.000772904303756457,-8.70667323830793E-20,-3.67109231972611E-34,0.0013878620871552,6.44417065836E-18,0.000772904303756456,0,0,0,0,0,0,package://agv5_varo/meshes/Left_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv5_varo/meshes/Left_Link.STL,,Wheel-2,Left,Mid,Left_Joint,continuous,0.110000000000006,0.229999999999991,-0.239999999999994,0,0,0,base_link,0,1,0,,,,,,,,,,,,
Right_Link,3.79141162909491E-13,0.0166023388387576,3.54161144855425E-14,0,0,0,0.529369940726169,0.000772904303756456,8.70716048896513E-20,1.91778702835882E-34,0.0013878620871552,2.16984719145409E-18,0.000772904303756456,0,0,0,0,0,0,package://agv5_varo/meshes/Right_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv5_varo/meshes/Right_Link.STL,,Wheel-1,Right,Mid,Right_Joint,continuous,0.110000000000006,-0.230000000000006,-0.239999999999996,0,0,0,base_link,0,1,0,,,,,,,,,,,,
LFcon_Link,-0.00121269193413109,7.66053886991358E-15,-0.000415480513229205,0,0,0,0.0257521038737953,8.61473826778215E-06,5.73714247890305E-21,-5.64302073523239E-07,8.11210346787567E-06,-2.30301065110909E-21,4.80769500241318E-06,0,0,0,0,0,0,package://agv5_varo/meshes/LFcon_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv5_varo/meshes/LFcon_Link.STL,,Wheelcon-2,LFcon,LF,LFcon_Joint,continuous,0.560363870782178,0.190000000000007,-0.244999999999998,0,0,0,base_link,0,0,1,,,,,,,,,,,,
LF_Link,7.59392548843607E-13,-0.00650000000122719,6.66688926287407E-14,0,0,0,0.0364111988779923,8.56927811367131E-06,-3.41691763893474E-25,2.71591299799106E-37,1.61103246905048E-05,2.54747297031203E-20,8.56927811367131E-06,0,0,0,0,0,0,package://agv5_varo/meshes/LF_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv5_varo/meshes/LF_Link.STL,,FB_wheel-2,LeftF,Front,LF_Joint,continuous,-0.00786387078217188,0.00649999999998607,-0.0400000000000009,0,0,0,LFcon_Link,0,1,0,,,,,,,,,,,,
RFcon_Link,-0.00121269193417084,6.7168492989822E-15,-0.000415480513104305,0,0,0,0.0257521038737953,8.61473826778217E-06,5.33362144638911E-21,-5.6430207352324E-07,8.11210346787569E-06,-1.85788997095708E-21,4.80769500241318E-06,0,0,0,0,0,0,package://agv5_varo/meshes/RFcon_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv5_varo/meshes/RFcon_Link.STL,,Wheelcon-1,RFcon,RF,RFcon_Joint,continuous,0.560363870782182,-0.189999999999993,-0.244999999999998,0,0,0,base_link,0,0,1,,,,,,,,,,,,
RF_Link,3.59712259978551E-13,0.00649999999876644,7.55506768257419E-14,0,0,0,0.0364111988779923,8.56927811367131E-06,1.67531682123137E-26,1.40097792434919E-38,1.61103246905048E-05,2.54747297031203E-20,8.56927811367131E-06,0,0,0,0,0,0,package://agv5_varo/meshes/RF_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv5_varo/meshes/RF_Link.STL,,FB_wheel-1,RightF,Front,RF_Joint,continuous,-0.00786387078217587,-0.00650000000001394,-0.0400000000000023,0,0,0,RFcon_Link,0,1,0,,,,,,,,,,,,
LBcon_Link,-0.00121269193412316,9.76996261670138E-14,-0.000415480513484057,0,0,0,0.0257521038737953,8.61473826778219E-06,4.64793643123521E-21,-5.64302073523248E-07,8.11210346787571E-06,-9.37517966136664E-21,4.80769500241318E-06,0,0,0,0,0,0,package://agv5_varo/meshes/LBcon_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv5_varo/meshes/LBcon_Link.STL,,Wheelcon-4,LBcon,LB,LBcon_Joint,continuous,-0.239636129217822,0.189999999999999,-0.245000000000001,0,0,0,base_link,0,0,1,,,,,,,,,,,,
LB_Link,7.68218821889377E-13,-0.00650000000038042,1.70974345792274E-14,0,0,0,0.0364111988779923,8.56927811367131E-06,3.75198100318771E-25,2.71591299799106E-37,1.61103246905048E-05,2.54747297031203E-20,8.56927811367131E-06,0,0,0,0,0,0,package://agv5_varo/meshes/LB_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv5_varo/meshes/LB_Link.STL,,FB_wheel-4,LeftB,Back,LB_Joint,continuous,-0.00786387078217188,0.00649999999999451,-0.0399999999999985,0,0,0,LBcon_Link,0,-1,0,,,,,,,,,,,,
RBcon_Link,-0.00121269193416546,9.51461132103759E-14,-0.000415480513359157,0,0,0,0.0257521038737953,8.61473826778216E-06,3.6436381704902E-21,-5.64302073523249E-07,8.11210346787568E-06,-1.09936104063131E-20,4.80769500241318E-06,0,0,0,0,0,0,package://agv5_varo/meshes/RBcon_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv5_varo/meshes/RBcon_Link.STL,,Wheelcon-3,RBcon,RB,RBcon_Joint,continuous,-0.239636129217818,-0.190000000000001,-0.245000000000001,0,0,0,base_link,0,0,1,,,,,,,,,,,,
RB_Link,3.65096841647983E-13,0.00649999999961287,2.55351295663786E-14,0,0,0,0.0364111988779923,8.56927811367131E-06,1.67531682123137E-26,2.71591299799105E-37,1.61103246905048E-05,2.54747297031203E-20,8.56927811367131E-06,0,0,0,0,0,0,package://agv5_varo/meshes/RB_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv5_varo/meshes/RB_Link.STL,,FB_wheel-3,RightB,Back,RB_Joint,continuous,-0.00786387078217587,-0.00650000000000545,-0.0399999999999999,0,0,0,RBcon_Link,0,-1,0,,,,,,,,,,,,
